|0|1
110|Telefon mobil Apple iPhone 15 Pro Max, 256GB, 5G, Black Titanium|
111|6.299,99 Lei|
112|Telefon mobil Apple iPhone 15, 128GB, 5G, Blue|
113|4.049,99 Lei|
114|Telefon mobil Motorola Moto g54, Power Edition, 256GB, 12GB RAM, 5G, Midnight Blue|
115|969,99 Lei|
116|Telefon mobil Samsung Galaxy A35, Dual SIM, 6GB, 128GB, 5G, Awesome Navy|
117|1.239,99 Lei|
118|Telefon mobil Samsung Galaxy S24 Ultra, Dual SIM, 12GB RAM, 512GB, 5G, Titanium Gray|
119|5.899,99 Lei|
120|Telefon mobil Samsung Galaxy A15, Dual SIM, 4GB RAM, 128GB, 5G, Blue|
121|749,99 Lei|
122|Telefon mobil Samsung Galaxy A34, Dual SIM, 8GB RAM, 256GB, 5G, Black|
123|1.473,99 Lei|
124|Telefon mobil Samsung Galaxy S24, Dual SIM, 8GB RAM, 128GB, 5G, Onyx Black|
125|3.318,05 Lei|
126|Telefon mobil Motorola Moto g24 Power, Dual SIM, 8GB RAM, 256GB, Ink Blue|
127|649,99 Lei|
128|Telefon mobil Samsung Galaxy A35, Dual SIM, 6GB, 128GB, 5G, Awesome Iceblue|
129|1.239,99 Lei|
130|Telefon mobil Samsung Galaxy S24 Ultra, Dual SIM, 12GB RAM, 256GB, 5G, Titanium Gray|
131|5.299,99 Lei|
132|Telefon SAMSUNG Galaxy A05, 64 GB, 4 GB RAM, Black|
133|435,00 Lei|
134|Telefon mobil Xiaomi Redmi Note 13 Pro, 8GB RAM, 256GB, Black|
135|1.227,63 Lei|
136|Telefon mobil Xiaomi Redmi Note 13 Pro+, 12GB RAM, 512GB, 5G, Black|
137|1.979,99 Lei|
138|Telefon mobil Apple iPhone 15 Pro Max, 256GB, 5G, Natural Titanium|
139|6.299,99 Lei|
140|Telefon mobil Samsung Galaxy A05s, Dual SIM, 4GB RAM, 64GB, 4G, Black|
141|580,93 Lei|
142|Telefon mobil Honor Magic6 Lite, 8GB RAM, 256GB, 5G, Emerald Green|
143|1.297,49 Lei|
